,favorite_count,tweet_id,retweet_count,truncated
305,20924,836001077879255040,4935,False
306,0,835685285446955009,9327,False
307,19447,835574547218894849,4121,False
308,0,835536468978302976,1939,False
309,0,835309094223372289,24013,False
310,17847,835297930240217089,3381,False
311,8503,835264098648616962,1939,False
312,2259,835246439529840640,83,False
313,28552,835172783151792128,6516,False
314,24574,835152434251116546,3443,False
315,11838,834931633769889797,1878,False
316,22943,834786237630337024,6159,False
317,14993,834574053763584002,2882,False
318,0,834477809192075265,12224,False
319,10512,834458053273591808,1899,False
320,22594,834209720923721728,5476,False
321,17194,834167344700198914,4130,False
322,10971,834089966724603904,2427,False
323,14296,834086379323871233,2512,False
324,14661,833863086058651648,2729,False
325,16728,833826103416520705,3904,False
326,0,833732339549220864,251,False
327,22585,833722901757046785,3636,False
328,16258,833479644947025920,2357,False
329,22133,833124694597443584,5513,False
330,14549,832998151111966721,2522,False
331,0,832769181346996225,43,False
332,18423,832757312314028032,4127,False
333,13017,832682457690300417,3368,False
334,3195,832645525019123713,594,False
335,17379,832636094638288896,3220,False
336,13126,832397543355072512,2548,False
337,18792,832369877331693569,3652,False
338,12385,832273440279240704,2673,False
339,0,832215909146226688,7069,False
340,0,832215726631055365,10723,False
341,72,832088576586297345,3,False
342,0,832040443403784192,11131,False
343,13887,832032802820481025,4746,False
344,26404,831939777352105988,7031,False
345,369,831926988323639298,39,False
346,30380,831911600680497154,7458,False
347,11469,831670449226514432,2059,False
348,7908,831650051525054464,2243,False
349,9872,831552930092285952,2632,False
350,10042,831322785565769729,1744,False
351,7117,831315979191906304,1264,False
352,12819,831309418084069378,2786,False
353,13066,831262627380748289,2350,False
354,8735,830956169170665475,1735,False
355,73397,830583320585068544,19297,False
356,0,830173239259324417,6554,False
357,10804,830097400375152640,3455,False
358,0,829878982036299777,5757,False
359,13441,829861396166877184,2243,False
360,34913,829501995190984704,12224,False
361,11519,829449946868879360,2329,False
362,38074,829374341691346946,10706,False
363,26952,829141528400556032,8530,False
364,58302,829011960981237760,18627,False
365,0,828801551087042563,3901,False
366,28085,828770345708580865,6746,False
367,40241,828708714936930305,12882,False
368,10467,828650029636317184,1544,False
369,6898,828409743546925057,1305,False
370,8398,828408677031882754,1477,False
371,13864,828381636999917570,2554,False
372,8112,828376505180889089,1216,False
373,13756,828372645993398273,3344,False
374,2408,828361771580813312,195,False
375,12923,828046555563323392,3260,False
376,11411,828011680017821696,2451,False
377,22180,827933404142436356,5987,False
378,16983,827653905312006145,3433,False
379,8143,827600520311402496,1082,False
380,17523,827324948884643840,3510,False
381,0,827228250799742977,13517,False
382,11659,827199976799354881,2579,False
383,23767,826958653328592898,5757,False
384,40325,826848821049180160,11878,False
385,0,826615380357632002,4521,False
386,5637,826598799820865537,292,False
387,11117,826598365270007810,2709,False
388,20275,826476773533745153,4821,False
389,14614,826240494070030336,2965,False
390,5361,826204788643753985,1075,False
391,17299,826115272272650244,3599,False
392,11525,825876512159186944,2146,False
393,14025,825829644528148480,2848,False
394,56413,825535076884762624,19669,False
395,20181,825147591692263424,5244,False
396,0,825120256414846976,1483,False
397,7020,825026590719483904,1483,False
398,0,824796380199809024,6288,False
399,16508,824775126675836928,4069,False
400,11113,824663926340194305,1993,False
401,12999,824325613288833024,11848,False
402,16625,824297048279236611,4463,False
403,5255,824025158776213504,679,False
404,11755,823939628516474880,3123,False
405,0,823719002937630720,12953,False
406,13826,823699002998870016,2772,False
407,14376,823581115634085888,3031,False
408,777,823333489516937216,31,False
409,17437,823322678127919110,4637,False
410,0,823269594223824897,11421,False
411,19139,822975315408461824,3958,False
412,132810,822872901745569793,48265,False
413,14576,822859134160621569,2622,False
414,0,822647212903690241,7390,False
415,16327,822610361945911296,3423,False
416,20083,822489057087389700,7390,False
417,31800,822462944365645825,17209,False
418,38832,822244816520155136,11421,False
419,0,822163064745328640,5571,False
420,12582,821886076407029760,2692,False
421,0,821813639212650496,3839,False
422,9317,821765923262631936,1899,False
423,8871,821522889702862852,2030,False
424,0,821421320206483457,6470,False
425,13075,821407182352777218,5053,False
426,280,821153421864615936,10,False
427,9718,821149554670182400,2320,False
428,10645,821107785811234820,2487,False
429,14021,821044531881721856,2636,False
430,0,820837357901512704,7733,False
